displ,cylinders,fuelType,engine_id
2.5,4.0,Regular,1
2.0,4.0,Regular,2
3.7,6.0,Regular,3
5.8,8.0,Premium,4
5.0,8.0,Regular,5
2.0,4.0,Premium,6
3.8,6.0,Premium,7
3.0,6.0,Diesel,8
2.4,4.0,Regular,9
3.3,6.0,Regular,10
3.5,6.0,Premium,11
5.2,10.0,Premium,12
4.2,8.0,Premium,13
5.9,12.0,Premium,14
5.0,8.0,Premium,15
6.4,8.0,Premium,16
4.8,8.0,Premium,17
3.0,6.0,Premium,18
4.4,8.0,Premium,19
3.5,6.0,Regular,20
3.6,6.0,Gasoline or E85,21
5.7,8.0,Midgrade,22
6.0,12.0,Premium or E85,23
1.8,4.0,Regular,24
2.7,6.0,Premium,25
3.5,6.0,Premium or E85,26
2.0,4.0,Regular Gas and Electricity,27
3.4,6.0,Premium,28
2.4,4.0,Premium,29
4.7,8.0,Premium,30
2.0,4.0,Diesel,31
1.6,4.0,Regular,32
1.5,4.0,Premium,33
8.0,16.0,Premium,34
6.5,12.0,Premium,35
5.5,8.0,Premium,36
1.3,4.0,Regular,37
,,Electricity,38
2.5,6.0,Premium,39
3.6,6.0,Premium,40
3.0,6.0,Regular,41
2.5,5.0,Regular,42
1.4,4.0,Regular,43
3.6,6.0,Regular,44
3.2,6.0,Regular,45
3.5,6.0,Gasoline or E85,46
5.3,8.0,Gasoline or E85,47
4.3,6.0,Regular,48
6.0,8.0,Gasoline or E85,49
4.8,8.0,Regular,50
4.5,8.0,Premium,51
6.3,12.0,Premium,52
4.3,8.0,Premium,53
2.0,4.0,Premium or E85,54
4.0,8.0,Premium,55
1.2,4.0,Regular,56
6.2,8.0,Regular,57
3.7,6.0,Premium,58
2.4,4.0,Gasoline or E85,59
6.2,8.0,Gasoline or E85,60
1.4,4.0,Premium Gas or Electricity,61
6.2,8.0,Premium,62
2.5,4.0,Premium,63
1.5,4.0,Regular,64
1.4,4.0,Premium,65
3.0,6.0,Gasoline or E85,66
1.6,4.0,Premium,67
2.0,4.0,Gasoline or E85,68
5.6,8.0,Premium,69
1.8,4.0,Premium,70
5.5,12.0,Premium,71
6.0,12.0,Premium,72
3.8,8.0,Premium,73
4.3,6.0,Gasoline or E85,74
8.4,10.0,Premium,75
6.7,12.0,Premium,76
3.6,6.0,Midgrade,77
6.6,12.0,Premium,78
5.7,8.0,Regular,79
5.7,8.0,Gasoline or E85,80
4.0,6.0,Regular,81
4.6,8.0,Regular,82
2.7,4.0,Regular,83
5.7,8.0,Premium,84
2.1,4.0,Diesel,85
3.0,6.0,Premium or E85,86
6.8,8.0,Premium,87
5.4,8.0,Gasoline or E85,88
1.2,3.0,Regular,89
5.0,8.0,Premium or E85,90
4.6,8.0,Gasoline or E85,91
6.8,10.0,Regular,92
5.6,8.0,Regular,93
5.6,8.0,Gasoline or E85,94
4.6,8.0,Premium,95
1.0,3.0,Premium,96
1.0,3.0,Regular,97
1.8,4.0,Regular Gas and Electricity,98
3.7,6.0,Gasoline or E85,99
5.0,8.0,Gasoline or E85,100
3.8,6.0,Regular,101
1.8,4.0,CNG,102
3.0,6.0,Premium and Electricity,103
1.5,3.0,Premium,104
7.0,8.0,Premium,105
4.6,8.0,Premium Gas or Electricity,106
2.3,4.0,Regular,107
5.3,8.0,Regular,108
0.6,2.0,Premium Gas or Electricity,109
6.0,8.0,Regular,110
1.5,3.0,Premium and Electricity,111
3.8,8.0,Premium and Electricity,112
3.9,8.0,Premium,113
4.6,8.0,CNG,114
3.0,6.0,Premium Gas or Electricity,115
2.7,6.0,Regular,116
3.6,6.0,Gasoline or natural gas,117
4.0,6.0,Premium,118
2.5,4.0,Gasoline or E85,119
1.5,4.0,Regular Gas or Electricity,120
5.2,8.0,Premium,121
0.9,3.0,Premium,122
2.0,4.0,Premium and Electricity,123
2.8,4.0,Diesel,124
1.4,4.0,Premium and Electricity,125
2.3,4.0,Premium,126
3.3,6.0,Premium,127
3.2,6.0,Midgrade,128
4.0,6.0,Gasoline or E85,129
2.9,6.0,Premium,130
3.6,6.0,Regular Gas and Electricity,131
1.6,4.0,Diesel,132
2.5,5.0,Premium,133
2.0,4.0,Premium Gas or Electricity,134
3.3,6.0,Gasoline or E85,135
5.2,12.0,Premium,136
1.6,4.0,Regular Gas and Electricity,137
1.5,4.0,Regular Gas and Electricity,138
2.9,6.0,Premium Gas or Electricity,139
4.0,8.0,Premium Gas or Electricity,140
2.2,4.0,Diesel,141
1.5,3.0,Regular,142
3.0,4.0,Premium and Electricity,143
1.5,3.0,Premium Gas or Electricity,144
3.0,6.0,Regular Gas and Electricity,145
1.3,3.0,Regular,146
2.7,4.0,Premium,147
2.5,4.0,Regular Gas and Electricity,148
3.9,8.0,Premium and Electricity,149
2.4,4.0,Regular Gas and Electricity,150
4.0,8.0,Premium and Electricity,151
2.9,6.0,Premium and Electricity,152
3.4,6.0,Regular,153
2.5,4.0,Premium and Electricity,154
5.2,8.0,Regular,155
1.6,3.0,Premium,156
4.4,8.0,Premium and Electricity,157
1.3,4.0,Regular Gas and Electricity,158
,,Hydrogen,159
6.2,8.0,Premium or E85,160
1.2,3.0,Gasoline or E85,161
3.0,4.0,Premium,162
