make,make_id
Mazda,1
Ford,2
Subaru,3
Nissan,4
Audi,5
Kia,6
Aston Martin,7
Roush Performance,8
Jeep,9
Porsche,10
BMW,11
Bentley,12
Acura,13
Mercedes-Benz,14
Honda,15
Jaguar,16
Mitsubishi,17
Chevrolet,18
Hyundai,19
Lincoln,20
Land Rover,21
Volkswagen,22
Bugatti,23
Lamborghini,24
Scion,25
Buick,26
Cadillac,27
Lexus,28
Volvo,29
GMC,30
Ferrari,31
Infiniti,32
Maserati,33
Toyota,34
Fiat,35
Ram,36
Chrysler,37
Dodge,38
MINI,39
SRT,40
Lotus,41
Rolls-Royce,42
smart,43
Tesla,44
BYD,45
McLaren Automotive,46
Mobility Ventures LLC,47
Alfa Romeo,48
Pagani,49
Genesis,50
Karma,51
Koenigsegg,52
RUF Automobile,53
STI,54
Polestar,55
Kandi,56
Rivian,57
Lucid,58
Lordstown,59
Fisker,60
Vinfast,61
INEOS Automotive,62
Bugatti Rimac,63
