vehicle_id,year_id,make_id,model_id,engine_id,average_mpg,fuel_consumption,co2_emissions,ghg_score
33399,1,1,1,1,30.5,10.25896551724138,305.0,7
33400,1,1,1,1,31.5,9.917,295.0,8
33401,1,1,2,1,28.0,11.018888888888888,328.0,7
33402,1,1,2,2,30.0,10.25896551724138,306.0,7
33403,1,1,2,2,29.0,10.625357142857142,311.0,7
33404,1,1,3,1,26.5,11.442692307692308,340.0,7
33405,1,1,3,2,27.5,11.018888888888888,324.0,7
33406,1,2,4,3,24.0,13.52318181818182,403.0,5
33407,1,2,4,3,24.5,12.935217391304349,386.0,6
33408,1,2,4,4,19.5,16.528333333333336,489.0,4
33409,1,2,4,5,21.5,14.8755,433.0,5
33410,1,3,5,1,25.0,12.39625,368.0,6
33411,1,3,5,1,27.5,11.018888888888888,332.0,7
33412,1,3,5,6,25.0,11.9004,359.0,6
33430,1,2,6,3,24.0,12.935217391304349,392.0,6
33431,1,2,4,5,20.5,15.65842105263158,473.0,4
33432,1,4,7,7,19.5,15.65842105263158,472.0,4
33433,1,5,8,8,30.0,12.756964285714284,360.0,6
33434,1,6,9,9,23.0,13.52318181818182,398.0,5
33435,1,6,9,9,23.0,14.167142857142858,413.0,5
33436,1,6,9,10,21.5,14.167142857142858,428.0,5
33437,1,6,10,9,21.5,14.167142857142858,423.0,5
33438,1,6,10,10,20.5,14.8755,449.0,5
33439,1,4,11,11,19.5,15.65842105263158,456.0,4
33440,1,5,12,12,17.5,18.594375,557.0,3
33441,1,5,13,12,17.5,18.594375,557.0,3
33442,1,5,12,13,18.5,17.500588235294117,538.0,3
33443,1,5,13,13,18.5,17.500588235294117,538.0,3
33444,1,5,12,12,15.5,21.250714285714285,620.0,2
33445,1,5,13,12,15.5,21.250714285714285,620.0,2
33446,1,5,12,13,15.5,21.250714285714285,620.0,2
33447,1,5,13,13,15.5,21.250714285714285,620.0,2
33448,1,7,14,14,16.0,19.834,585.0,2
33449,1,7,15,14,16.0,19.834,585.0,2
33450,1,7,16,14,16.0,19.834,585.0,2
33451,1,8,17,15,18.0,17.500588235294117,530.0,3
33452,1,9,18,9,24.5,12.39625,375.0,6
33453,1,9,19,9,24.5,12.39625,375.0,6
33454,1,9,18,2,24.5,12.39625,376.0,6
33455,1,9,19,2,24.5,12.39625,376.0,6
33456,1,9,19,9,25.5,11.9004,358.0,6
33457,1,9,18,9,25.5,11.9004,358.0,6
33458,1,9,18,2,26.5,11.9004,349.0,7
33459,1,9,20,9,24.0,12.935217391304349,387.0,6
33460,1,9,21,9,24.0,12.935217391304349,387.0,6
33461,1,9,20,9,25.5,11.9004,360.0,6
33462,1,9,21,9,25.5,11.9004,360.0,6
33463,1,9,22,16,16.0,19.834,592.0,2
33464,1,10,23,17,17.5,17.500588235294117,525.0,3
33477,1,8,17,15,18.5,17.500588235294117,505.0,3
33478,1,10,24,17,16.5,19.834,576.0,2
33479,1,11,25,6,27.0,11.442692307692308,345.0,7
33480,1,11,26,18,22.5,14.167142857142858,416.0,5
33481,1,11,26,18,20.0,15.65842105263158,454.0,5
33482,1,11,27,18,20.0,15.65842105263158,454.0,5
33483,1,11,28,18,27.0,11.9004,353.0,6
33484,1,11,29,18,25.0,12.935217391304349,378.0,6
33485,1,11,30,19,20.0,15.65842105263158,469.0,4
33486,1,11,31,19,20.0,15.65842105263158,469.0,4
33487,1,11,32,18,25.0,12.935217391304349,378.0,6
33488,1,11,33,19,20.0,15.65842105263158,469.0,4
33489,1,6,34,2,29.5,10.625357142857142,318.0,7
33490,1,6,34,2,29.0,10.625357142857142,322.0,7
33491,1,11,35,18,22.0,14.167142857142858,424.0,5
33492,1,6,36,10,23.5,13.52318181818182,404.0,5
33493,1,6,37,20,20.0,14.8755,457.0,5
33494,1,9,20,9,21.5,14.167142857142858,418.0,5
33495,1,9,21,9,21.5,14.167142857142858,418.0,5
33496,1,9,38,21,21.0,14.8755,444.0,5
33497,1,9,38,22,18.0,17.500588235294117,526.0,3
33498,1,9,39,21,20.5,15.65842105263158,458.0,4
33499,1,9,39,22,17.0,18.594375,558.0,3
33500,1,10,40,17,18.5,16.528333333333336,499.0,4
33510,1,11,41,18,24.5,12.935217391304349,384.0,6
33511,1,11,42,18,24.5,12.935217391304349,384.0,6
33512,1,11,43,19,21.0,14.8755,456.0,5
33513,1,11,44,19,21.0,14.8755,456.0,5
33514,1,12,45,23,16.5,19.834,580.0,2
33515,1,11,46,18,24.5,12.935217391304349,384.0,6
33516,1,11,47,19,21.0,14.8755,456.0,5
33517,1,13,48,11,25.0,12.935217391304349,380.0,6
33518,1,6,49,24,30.0,10.25896551724138,308.0,7
33519,1,6,34,24,29.5,10.625357142857142,314.0,7
33520,1,6,34,24,30.5,10.25896551724138,305.0,7
33521,1,11,50,6,27.0,11.442692307692308,346.0,7
33522,1,11,51,6,27.0,11.442692307692308,346.0,7
