Day,Price
2014-01-01,3.893
2014-02-01,3.984
2014-03-01,4.001
2014-04-01,3.964
2014-05-01,3.943
2014-06-01,3.906
2014-07-01,3.884
2014-08-01,3.838
2014-09-01,3.792
2014-10-01,3.681
2014-11-01,3.647
2014-12-01,3.411
2015-01-01,2.997
2015-02-01,2.858
2015-03-01,2.897
2015-04-01,2.782
2015-05-01,2.888
2015-06-01,2.873
2015-07-01,2.788
2015-08-01,2.595
2015-09-01,2.505
2015-10-01,2.519
2015-11-01,2.467
2015-12-01,2.31
2016-01-01,2.143
2016-02-01,1.998
2016-03-01,2.09
2016-04-01,2.152
2016-05-01,2.315
2016-06-01,2.423
2016-07-01,2.405
2016-08-01,2.351
2016-09-01,2.394
2016-10-01,2.454
2016-11-01,2.439
2016-12-01,2.51
2017-01-01,2.58
2017-02-01,2.568
2017-03-01,2.554
2017-04-01,2.583
2017-05-01,2.56
2017-06-01,2.511
2017-07-01,2.496
2017-08-01,2.595
2017-09-01,2.785
2017-10-01,2.794
2017-11-01,2.909
2017-12-01,2.909
2018-01-01,3.018
2018-02-01,3.046
2018-03-01,2.988
2018-04-01,3.096
2018-05-01,3.244
2018-06-01,3.253
2018-07-01,3.233
2018-08-01,3.218
2018-09-01,3.262
2018-10-01,3.365
2018-11-01,3.3
2018-12-01,3.123
2019-01-01,2.98
2019-02-01,2.997
2019-03-01,3.076
2019-04-01,3.121
2019-05-01,3.161
2019-06-01,3.089
2019-07-01,3.045
2019-08-01,3.005
2019-09-01,3.016
2019-10-01,3.053
2019-11-01,3.069
2019-12-01,3.055
2020-01-01,3.048
2020-02-01,2.91
2020-03-01,2.729
2020-04-01,2.493
2020-05-01,2.392
2020-06-01,2.408
2020-07-01,2.434
2020-08-01,2.429
2020-09-01,2.414
2020-10-01,2.389
2020-11-01,2.432
2020-12-01,2.585
2021-01-01,2.681
2021-02-01,2.847
2021-03-01,3.152
2021-04-01,3.13
2021-05-01,3.217
2021-06-01,3.287
2021-07-01,3.339
2021-08-01,3.35
2021-09-01,3.384
2021-10-01,3.612
2021-11-01,3.727
2021-12-01,3.641
2022-01-01,3.724
2022-02-01,4.032
2022-03-01,5.105
2022-04-01,5.12
2022-05-01,5.571
2022-06-01,5.754
2022-07-01,5.486
2022-08-01,5.013
2022-09-01,4.993
2022-10-01,5.211
2022-11-01,5.255
2022-12-01,4.714
2023-01-01,4.576
2023-02-01,4.413
2023-03-01,4.211
2023-04-01,4.099
2023-05-01,3.915
2023-06-01,3.802
2023-07-01,3.882
2023-08-01,4.37
2023-09-01,4.563
2023-10-01,4.507
2023-11-01,4.254
2023-12-01,3.972
2024-01-01,3.854
2024-02-01,4.044
2024-03-01,4.022
2024-04-01,4.002
2024-05-01,3.822
2024-06-01,3.722
2024-07-01,3.81
2024-08-01,3.7
2024-09-01,3.558
2024-10-01,3.585
2024-11-01,3.522
2024-12-01,
