model,VClass,model_id
6,Midsize Cars,1
CX-5 2WD,Small Sport Utility Vehicle 2WD,2
CX-5 4WD,Small Sport Utility Vehicle 4WD,3
Mustang,Subcompact Cars,4
Forester AWD,Small Sport Utility Vehicle 4WD,5
Mustang Convertible,Subcompact Cars,6
GT-R,Subcompact Cars,7
A8 L,Large Cars,8
Sorento 2WD,Small Sport Utility Vehicle 2WD,9
Sorento 4WD,Small Sport Utility Vehicle 4WD,10
Murano CrossCabriolet,Small Sport Utility Vehicle 4WD,11
R8 Spyder,Two Seaters,12
R8,Two Seaters,13
DB9,Minicompact Cars,14
Vanquish,Minicompact Cars,15
Rapide S,Subcompact Cars,16
Stage 3 Mustang,Subcompact Cars,17
Compass FWD,Small Sport Utility Vehicle 2WD,18
Patriot FWD,Small Sport Utility Vehicle 2WD,19
Compass 4WD,Small Sport Utility Vehicle 4WD,20
Patriot 4WD,Small Sport Utility Vehicle 4WD,21
Grand Cherokee SRT8,Standard Sport Utility Vehicle 4WD,22
Cayenne Turbo,Standard Sport Utility Vehicle 4WD,23
Cayenne Turbo S,Standard Sport Utility Vehicle 4WD,24
Z4 sDrive28i,Two Seaters,25
Z4 sDrive35i,Two Seaters,26
Z4 sDrive35is,Two Seaters,27
640i Coupe,Subcompact Cars,28
640i Convertible,Subcompact Cars,29
650i xDrive Coupe,Subcompact Cars,30
650i xDrive Convertible,Subcompact Cars,31
640i Gran Coupe,Compact Cars,32
650i xDrive Gran Coupe,Compact Cars,33
Forte,Midsize Cars,34
X1 xDrive35i,Large Cars,35
Cadenza,Large Cars,36
Sedona,Minivan - 2WD,37
Grand Cherokee 2WD,Standard Sport Utility Vehicle 2WD,38
Grand Cherokee 4WD,Standard Sport Utility Vehicle 4WD,39
Cayenne S,Standard Sport Utility Vehicle 4WD,40
640i xDrive Coupe,Subcompact Cars,41
640i xDrive Convertible,Subcompact Cars,42
650i Coupe,Subcompact Cars,43
650i Convertible,Subcompact Cars,44
Continental GT,Compact Cars,45
640i xDrive Gran Coupe,Compact Cars,46
650i Gran Coupe,Compact Cars,47
RLX,Midsize Cars,48
Forte Eco,Midsize Cars,49
X1 xDrive28i,Large Cars,50
328i xDrive Sports Wagon,Small Station Wagons,51
RDX 2WD,Small Sport Utility Vehicle 2WD,52
RDX 4WD,Small Sport Utility Vehicle 4WD,53
X3 xDrive28i,Small Sport Utility Vehicle 4WD,54
Cayenne GTS,Standard Sport Utility Vehicle 4WD,55
Boxster,Two Seaters,56
Cayman,Two Seaters,57
Continental GTC,Subcompact Cars,58
Continental GT Speed Convertible,Subcompact Cars,59
M6 Coupe,Subcompact Cars,60
M6 Convertible,Subcompact Cars,61
M6 Gran Coupe,Compact Cars,62
Flying Spur,Midsize Cars,63
E350 4matic,Midsize Cars,64
E350,Midsize Cars,65
X1 sDrive28i,Large Cars,66
X3 xDrive35i,Small Sport Utility Vehicle 4WD,67
X6 xDrive35i,Standard Sport Utility Vehicle 4WD,68
X6 xDrive50i,Standard Sport Utility Vehicle 4WD,69
X6 M,Standard Sport Utility Vehicle 4WD,70
Accord Plug-in Hybrid,Midsize Cars,71
F-Type V8 S Convertible,Two Seaters,72
Boxster S,Two Seaters,73
Cayman S,Two Seaters,74
XK Convertible,Minicompact Cars,75
XK,Minicompact Cars,76
ILX,Compact Cars,77
CLS550,Compact Cars,78
CLS550 4matic,Compact Cars,79
Lancer,Compact Cars,80
Lancer AWD,Compact Cars,81
Lancer Evolution,Compact Cars,82
Cruze,Midsize Cars,83
Versa,Compact Cars,84
Impala,Large Cars,85
Equus,Large Cars,86
Lancer Sportback,Small Station Wagons,87
MKT Livery FWD,Special Purpose Vehicle 2WD,88
MKT Livery AWD,Special Purpose Vehicle 4WD,89
MDX 2WD,Small Sport Utility Vehicle 2WD,90
Outlander 2WD,Small Sport Utility Vehicle 2WD,91
MDX 4WD,Small Sport Utility Vehicle 4WD,92
MKT AWD,Small Sport Utility Vehicle 4WD,93
Outlander 4WD,Small Sport Utility Vehicle 4WD,94
Flex FWD,Standard Sport Utility Vehicle 2WD,95
MKT FWD,Standard Sport Utility Vehicle 2WD,96
Flex AWD,Standard Sport Utility Vehicle 4WD,97
Range Rover,Standard Sport Utility Vehicle 4WD,98
Range Rover Sport,Standard Sport Utility Vehicle 4WD,99
Fiesta FWD,Subcompact Cars,100
ILX Hybrid,Compact Cars,101
E550 4matic,Midsize Cars,102
Legacy AWD,Midsize Cars,103
Cayenne Diesel,Standard Sport Utility Vehicle 4WD,104
Touareg,Standard Sport Utility Vehicle 4WD,105
TT Roadster quattro,Two Seaters,106
Veyron,Two Seaters,107
F-Type Convertible,Two Seaters,108
F-Type S Convertible,Two Seaters,109
Aventador Roadster,Two Seaters,110
Aventador Veneno Coupe,Two Seaters,111
SL550,Two Seaters,112
SL63 AMG,Two Seaters,113
SLK55 AMG,Two Seaters,114
911 Carrera,Minicompact Cars,115
911 Carrera Cabriolet,Minicompact Cars,116
911 Carrera S,Minicompact Cars,117
911 Carrera S Cabriolet,Minicompact Cars,118
911 Carrera 4,Minicompact Cars,119
911 Carrera 4 Cabriolet,Minicompact Cars,120
911 Carrera 4S,Minicompact Cars,121
911 Carrera 4S Cabriolet,Minicompact Cars,122
iQ,Minicompact Cars,123
RS 5,Subcompact Cars,124
TT Coupe quattro,Subcompact Cars,125
Spark EV,Subcompact Cars,126
Verano,Compact Cars,127
ATS,Compact Cars,128
IS 350,Compact Cars,129
IS 350 AWD,Compact Cars,130
IS 250,Compact Cars,131
IS 250 AWD,Compact Cars,132
C350,Compact Cars,133
C300 4matic,Compact Cars,134
CL550 4matic,Compact Cars,135
CL63 AMG,Compact Cars,136
CLS63 AMG,Compact Cars,137
CLS63 AMG S,Compact Cars,138
tC,Compact Cars,139
CC 4motion,Compact Cars,140
S60 AWD,Compact Cars,141
S60 FWD,Compact Cars,142
M5,Midsize Cars,143
Cruze Eco,Midsize Cars,144
E63 AMG,Midsize Cars,145
E63 AMG S,Midsize Cars,146
Passat,Midsize Cars,147
S80 FWD,Midsize Cars,148
S80 AWD,Midsize Cars,149
XTS AWD,Large Cars,150
