Day,U.S. Midgrade All Formulations Retail Gasoline Prices $/gal,U.S. Premium All Formulations Retail Gasoline Prices $/gal,U.S. Regular All Formulations Retail Gasoline Prices $/gal
11/1/2024,3.602,3.959,3.053
10/1/2024,3.691,4.049,3.137
9/1/2024,3.774,4.134,3.214
8/1/2024,3.907,4.257,3.389
7/1/2024,3.995,4.349,3.484
6/1/2024,3.993,4.348,3.455
5/1/2024,4.146,4.507,3.603
4/1/2024,4.148,4.511,3.611
3/1/2024,3.938,4.286,3.426
2/1/2024,3.729,4.077,3.212
1/1/2024,3.619,3.969,3.075
12/1/2023,3.685,4.038,3.134
11/1/2023,3.88,4.235,3.318
10/1/2023,4.211,4.555,3.613
9/1/2023,4.396,4.725,3.836
8/1/2023,4.357,4.685,3.84
7/1/2023,4.121,4.444,3.597
6/1/2023,4.084,4.409,3.571
5/1/2023,4.052,4.382,3.555
4/1/2023,4.083,4.406,3.603
3/1/2023,3.939,4.254,3.422
2/1/2023,3.904,4.216,3.389
1/1/2023,3.809,4.128,3.339
12/1/2022,3.718,4.049,3.21
11/1/2022,4.197,4.537,3.685
10/1/2022,4.368,4.704,3.815
9/1/2022,4.237,4.564,3.7
8/1/2022,4.487,4.806,3.975
7/1/2022,5.06,5.361,4.559
6/1/2022,5.39,5.699,4.929
5/1/2022,4.9,5.199,4.444
4/1/2022,4.598,4.871,4.109
3/1/2022,4.681,4.953,4.222
2/1/2022,3.939,4.21,3.517
1/1/2022,3.766,4.036,3.315
12/1/2021,3.771,4.034,3.307
11/1/2021,3.836,4.098,3.395
10/1/2021,3.723,3.979,3.291
9/1/2021,3.626,3.877,3.175
8/1/2021,3.613,3.865,3.158
7/1/2021,3.577,3.823,3.136
6/1/2021,3.491,3.744,3.064
5/1/2021,3.402,3.652,2.985
4/1/2021,3.267,3.519,2.858
3/1/2021,3.198,3.454,2.81
2/1/2021,2.884,3.14,2.501
1/1/2021,2.719,2.975,2.334
12/1/2020,2.596,2.85,2.195
11/1/2020,2.529,2.782,2.108
10/1/2020,2.572,2.822,2.158
9/1/2020,2.597,2.848,2.183
8/1/2020,2.593,2.842,2.182
7/1/2020,2.582,2.834,2.183
6/1/2020,2.479,2.731,2.082
5/1/2020,2.282,2.542,1.87
4/1/2020,2.302,2.549,1.841
3/1/2020,2.676,2.924,2.234
2/1/2020,2.856,3.108,2.442
1/1/2020,2.947,3.192,2.548
12/1/2019,2.969,3.217,2.555
11/1/2019,3.046,3.297,2.598
10/1/2019,3.079,3.335,2.627
9/1/2019,2.998,3.251,2.592
8/1/2019,3.005,3.261,2.621
7/1/2019,3.11,3.362,2.74
6/1/2019,3.115,3.364,2.716
5/1/2019,3.25,3.505,2.859
4/1/2019,3.165,3.417,2.798
3/1/2019,2.854,3.107,2.516
2/1/2019,2.682,2.936,2.309
1/1/2019,2.658,2.904,2.248
12/1/2018,2.793,3.03,2.366
11/1/2018,3.055,3.294,2.647
10/1/2018,3.23,3.472,2.86
9/1/2018,3.187,3.428,2.836
8/1/2018,3.181,3.421,2.836
7/1/2018,3.196,3.441,2.849
6/1/2018,3.241,3.48,2.891
5/1/2018,3.221,3.46,2.901
4/1/2018,3.035,3.268,2.757
3/1/2018,2.874,3.109,2.591
2/1/2018,2.869,3.106,2.587
1/1/2018,2.832,3.07,2.555
12/1/2017,2.755,2.992,2.477
11/1/2017,2.837,3.067,2.564
10/1/2017,2.779,3.019,2.505
9/1/2017,2.916,3.161,2.645
8/1/2017,2.649,2.884,2.38
7/1/2017,2.572,2.805,2.3
6/1/2017,2.617,2.849,2.347
5/1/2017,2.654,2.885,2.391
4/1/2017,2.676,2.907,2.417
3/1/2017,2.59,2.819,2.325
2/1/2017,2.565,2.8,2.304
1/1/2017,2.599,2.839,2.349
12/1/2016,2.512,2.751,2.254
11/1/2016,2.45,2.685,2.182
10/1/2016,2.509,2.734,2.249
9/1/2016,2.472,2.698,2.219
8/1/2016,2.427,2.649,2.178
7/1/2016,2.488,2.708,2.239
6/1/2016,2.603,2.816,2.366
5/1/2016,2.51,2.724,2.268
4/1/2016,2.355,2.566,2.113
3/1/2016,2.21,2.421,1.969
2/1/2016,2.021,2.242,1.764
1/1/2016,2.207,2.424,1.949
12/1/2015,2.29,2.509,2.038
11/1/2015,2.398,2.611,2.158
10/1/2015,2.518,2.718,2.29
9/1/2015,2.595,2.79,2.365
8/1/2015,2.855,3.03,2.636
7/1/2015,3.002,3.172,2.794
6/1/2015,2.997,3.17,2.802
5/1/2015,2.924,3.087,2.718
4/1/2015,2.674,2.845,2.469
3/1/2015,2.662,2.829,2.464
2/1/2015,2.412,2.594,2.216
1/1/2015,2.331,2.525,2.116
12/1/2014,2.752,2.943,2.543
11/1/2014,3.107,3.29,2.912
10/1/2014,3.366,3.543,3.171
9/1/2014,3.586,3.755,3.406
8/1/2014,3.668,3.833,3.487
7/1/2014,3.789,3.955,3.611
6/1/2014,3.861,4.024,3.692
5/1/2014,3.852,4.017,3.673
4/1/2014,3.834,3.991,3.661
3/1/2014,3.698,3.86,3.533
2/1/2014,3.533,3.707,3.356
1/1/2014,3.492,3.671,3.313
