Day,U.S. Midgrade All Formulations Retail Gasoline Prices $/gal,U.S. Premium All Formulations Retail Gasoline Prices $/gal,U.S. Regular All Formulations Retail Gasoline Prices $/gal
2014-01-01,3.492,3.671,3.313
2014-02-01,3.533,3.707,3.356
2014-03-01,3.698,3.86,3.533
2014-04-01,3.834,3.991,3.661
2014-05-01,3.852,4.017,3.673
2014-06-01,3.861,4.024,3.692
2014-07-01,3.789,3.955,3.611
2014-08-01,3.668,3.833,3.487
2014-09-01,3.586,3.755,3.406
2014-10-01,3.366,3.543,3.171
2014-11-01,3.107,3.29,2.912
2014-12-01,2.752,2.943,2.543
2015-01-01,2.331,2.525,2.116
2015-02-01,2.412,2.594,2.216
2015-03-01,2.662,2.829,2.464
2015-04-01,2.674,2.845,2.469
2015-05-01,2.924,3.087,2.718
2015-06-01,2.997,3.17,2.802
2015-07-01,3.002,3.172,2.794
2015-08-01,2.855,3.03,2.636
2015-09-01,2.595,2.79,2.365
2015-10-01,2.518,2.718,2.29
2015-11-01,2.398,2.611,2.158
2015-12-01,2.29,2.509,2.038
2016-01-01,2.207,2.424,1.949
2016-02-01,2.021,2.242,1.764
2016-03-01,2.21,2.421,1.969
2016-04-01,2.355,2.566,2.113
2016-05-01,2.51,2.724,2.268
2016-06-01,2.603,2.816,2.366
2016-07-01,2.488,2.708,2.239
2016-08-01,2.427,2.649,2.178
2016-09-01,2.472,2.698,2.219
2016-10-01,2.509,2.734,2.249
2016-11-01,2.45,2.685,2.182
2016-12-01,2.512,2.751,2.254
2017-01-01,2.599,2.839,2.349
2017-02-01,2.565,2.8,2.304
2017-03-01,2.59,2.819,2.325
2017-04-01,2.676,2.907,2.417
2017-05-01,2.654,2.885,2.391
2017-06-01,2.617,2.849,2.347
2017-07-01,2.572,2.805,2.3
2017-08-01,2.649,2.884,2.38
2017-09-01,2.916,3.161,2.645
2017-10-01,2.779,3.019,2.505
2017-11-01,2.837,3.067,2.564
2017-12-01,2.755,2.992,2.477
2018-01-01,2.832,3.07,2.555
2018-02-01,2.869,3.106,2.587
2018-03-01,2.874,3.109,2.591
2018-04-01,3.035,3.268,2.757
2018-05-01,3.221,3.46,2.901
2018-06-01,3.241,3.48,2.891
2018-07-01,3.196,3.441,2.849
2018-08-01,3.181,3.421,2.836
2018-09-01,3.187,3.428,2.836
2018-10-01,3.23,3.472,2.86
2018-11-01,3.055,3.294,2.647
2018-12-01,2.793,3.03,2.366
2019-01-01,2.658,2.904,2.248
2019-02-01,2.682,2.936,2.309
2019-03-01,2.854,3.107,2.516
2019-04-01,3.165,3.417,2.798
2019-05-01,3.25,3.505,2.859
2019-06-01,3.115,3.364,2.716
2019-07-01,3.11,3.362,2.74
2019-08-01,3.005,3.261,2.621
2019-09-01,2.998,3.251,2.592
2019-10-01,3.079,3.335,2.627
2019-11-01,3.046,3.297,2.598
2019-12-01,2.969,3.217,2.555
2020-01-01,2.947,3.192,2.548
2020-02-01,2.856,3.108,2.442
2020-03-01,2.676,2.924,2.234
2020-04-01,2.302,2.549,1.841
2020-05-01,2.282,2.542,1.87
2020-06-01,2.479,2.731,2.082
2020-07-01,2.582,2.834,2.183
2020-08-01,2.593,2.842,2.182
2020-09-01,2.597,2.848,2.183
2020-10-01,2.572,2.822,2.158
2020-11-01,2.529,2.782,2.108
2020-12-01,2.596,2.85,2.195
2021-01-01,2.719,2.975,2.334
2021-02-01,2.884,3.14,2.501
2021-03-01,3.198,3.454,2.81
2021-04-01,3.267,3.519,2.858
2021-05-01,3.402,3.652,2.985
2021-06-01,3.491,3.744,3.064
2021-07-01,3.577,3.823,3.136
2021-08-01,3.613,3.865,3.158
2021-09-01,3.626,3.877,3.175
2021-10-01,3.723,3.979,3.291
2021-11-01,3.836,4.098,3.395
2021-12-01,3.771,4.034,3.307
2022-01-01,3.766,4.036,3.315
2022-02-01,3.939,4.21,3.517
2022-03-01,4.681,4.953,4.222
2022-04-01,4.598,4.871,4.109
2022-05-01,4.9,5.199,4.444
2022-06-01,5.39,5.699,4.929
2022-07-01,5.06,5.361,4.559
2022-08-01,4.487,4.806,3.975
2022-09-01,4.237,4.564,3.7
2022-10-01,4.368,4.704,3.815
2022-11-01,4.197,4.537,3.685
2022-12-01,3.718,4.049,3.21
2023-01-01,3.809,4.128,3.339
2023-02-01,3.904,4.216,3.389
2023-03-01,3.939,4.254,3.422
2023-04-01,4.083,4.406,3.603
2023-05-01,4.052,4.382,3.555
2023-06-01,4.084,4.409,3.571
2023-07-01,4.121,4.444,3.597
2023-08-01,4.357,4.685,3.84
2023-09-01,4.396,4.725,3.836
2023-10-01,4.211,4.555,3.613
2023-11-01,3.88,4.235,3.318
2023-12-01,3.685,4.038,3.134
2024-01-01,3.619,3.969,3.075
2024-02-01,3.729,4.077,3.212
2024-03-01,3.938,4.286,3.426
2024-04-01,4.148,4.511,3.611
2024-05-01,4.146,4.507,3.603
2024-06-01,3.993,4.348,3.455
2024-07-01,3.995,4.349,3.484
2024-08-01,3.907,4.257,3.389
2024-09-01,3.774,4.134,3.214
2024-10-01,3.691,4.049,3.137
2024-11-01,3.602,3.959,3.053
